user_name,wine_name,user_rating,avg_rating,profile_url
,Nederburg Baronne Red Red,4,3.5,https://www.vivino.com/users/jean-paul.coetser
,Gaï-Kodzor Malbec 2023,3,4,https://www.vivino.com/users/stas-dr
,Цимл?н?кие ?ина (Tsymlyanskie Vina) Цве?о?н?й белое пол????ое (Floral White Semi Dry) 2023,3,0,https://www.vivino.com/users/stas-dr
,Château Tamagne Nature Orange 2023,3,3.9,https://www.vivino.com/users/stas-dr
,Château Tamagne ??а?но??оп С??ое ?озовое (Krasnostop Dry Rosé) 2024,3,0,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) The Lines ?абе?не - ?е?ло - ?ино ??а? (Cabernet - Merlot - Pinot Noir) 2019,3.5,3.5,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) ?елое из белого (Blanc de Blancs) 2022,3,3.8,https://www.vivino.com/users/stas-dr
,Vivaldi Soave 2023,3.5,0,https://www.vivino.com/users/stas-dr
,Original G German Pinot Blanc 2021,3,3.9,https://www.vivino.com/users/stas-dr
,Veuve Alban Blanc de Blancs Brut Brut,3.5,3.5,https://www.vivino.com/users/stas-dr
,Bodegas Antonio Candela Little Lady B Organic Monastrell - Merlot 2021,3,3.9,https://www.vivino.com/users/stas-dr
,Bodegas Gallegas Molom Tinto 2021,3,4.1,https://www.vivino.com/users/stas-dr
,Familia Torres Sangre de Toro Verdejo 2020,3,3.8,https://www.vivino.com/users/stas-dr
,La Casada Pinot Grigio 2022,3,0,https://www.vivino.com/users/stas-dr
,Altos de Torona Maremel Albariño 2019,4,3.9,https://www.vivino.com/users/stas-dr
,Broadleaf Pinked Sauvignon Blanc Blanc,3.5,3.8,https://www.vivino.com/users/stas-dr
,Schloss Raggendorf Zweigelt Rosé 2022,3,0,https://www.vivino.com/users/stas-dr
,Colterenzio (Schreckbichl) Pfefferer Pink 2021,3,4.2,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) Clairet 2023,3,3.8,https://www.vivino.com/users/stas-dr
,Château Tamagne ?е?ло С??ое ?озовое (Merlot Dry Rosé) 2023,3.5,3.6,https://www.vivino.com/users/stas-dr
,Unknown Winery Leisure And Pleasure Blaufränkisch Dry Red 2023,3.5,0,https://www.vivino.com/users/stas-dr
,Dunavar Pinot Noir 2021,3,3.5,https://www.vivino.com/users/stas-dr
,Bouchard Aîné & Fils Pinot Noir Grand Conseiller 2022,3,3.7,https://www.vivino.com/users/stas-dr
,Campelo Brisa do Mar Rosé 2022,3.5,3.8,https://www.vivino.com/users/stas-dr
,Château Tamagne Cabernet 2023,3.5,3.6,https://www.vivino.com/users/stas-dr
,MontGras Day One Cabernet Sauvignon 2020,3,3.7,https://www.vivino.com/users/stas-dr
,Musìta Kàrima Grillo 2022,3,3.9,https://www.vivino.com/users/stas-dr
,Roquevale Tinto da Talha Grande Escolha 2018,3,3.9,https://www.vivino.com/users/stas-dr
,Unknown Winery Reserve del Puech Côtes du Rhône 2020,3.5,3.9,https://www.vivino.com/users/stas-dr
,Sol de Plata Malbec 2022,3.5,3.6,https://www.vivino.com/users/stas-dr
,Unknown Winery Cloudy Routes Deep Red Zinfandel 2021,3,3.9,https://www.vivino.com/users/stas-dr
,Santa Rita Secret Reserve Pinot Noir 2022,3,0,https://www.vivino.com/users/stas-dr
,Unknown Winery Siebenstein Selektion #6 Dornfelder 2022,3,0,https://www.vivino.com/users/stas-dr
,Swartland Winery Limited Release Cinsault 2021,3,0,https://www.vivino.com/users/stas-dr
,Unknown Winery Giffelklettern Selection Blauer Zweigelt 2021,3,3.7,https://www.vivino.com/users/stas-dr
,Mondoro Prosecco Millesimato Millesimato,3,4.2,https://www.vivino.com/users/stas-dr
,Katuna Cabernet Sauvignon - Shiraz Shiraz,3,3.8,https://www.vivino.com/users/stas-dr
,Peter Weinbach Riesling Sekt Dry 2022,3,0,https://www.vivino.com/users/stas-dr
,Ostorosbor Birtok Válogatás Irsai Oliver Oliver,3,3.8,https://www.vivino.com/users/stas-dr
,Stobi Riesling 2017,3,3.3,https://www.vivino.com/users/stas-dr
,Adega Cooperativa de Borba Alentejano Galitos Tinto 2018,3,3.3,https://www.vivino.com/users/stas-dr
,Félix Solís Mucho Más Tinto N.V.,3,4.2,https://www.vivino.com/users/stas-dr
,Morandé Pionero Reserva Rosé 2019,3.5,0,https://www.vivino.com/users/stas-dr
,Welmoed Sauvignon Blanc 2019,3,3.5,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) NR Цимл?н?кий ?е?н?й (NR Tsimlyansky Black) 2018,3,3.4,https://www.vivino.com/users/stas-dr
,Pearly Bay Dry Red N.V.,3,3.3,https://www.vivino.com/users/stas-dr
,Castillo Santa Barbara Viejo 2015,3.5,3.7,https://www.vivino.com/users/stas-dr
,Vinovalie Le Chant du Côt à la Négrette Rouge 2020,3,3.7,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) F-Style Сапе?ави (F-Style Saperavi) 2021,3,3.6,https://www.vivino.com/users/stas-dr
,Laderas de Romeo Monastrell 2018,3.5,3.7,https://www.vivino.com/users/stas-dr
,??бан?-?ино (Kuban-Vino) Ф?анковка С??ое ??а?ное (Frankovka Dry Red) 2017,3,3.4,https://www.vivino.com/users/stas-dr
,Trésors de Loire Crémant de Loire Brut Rosé N.V.,4,4,https://www.vivino.com/users/stas-dr
,Marqués de Rocas Rosé 2019,2.5,3.2,https://www.vivino.com/users/stas-dr
,Martini Asti N.V.,3.5,3.8,https://www.vivino.com/users/stas-dr
,Loggia dei Sani Oro dei Sani Governo Rosso 2016,3,3.7,https://www.vivino.com/users/stas-dr
,Gancia Prosecco Dry Dry,3.5,4,https://www.vivino.com/users/stas-dr
,Bodegas Félix Lorenzo Cachazo Gran Cardiel Verdejo - Viura 2016,3,3.6,https://www.vivino.com/users/stas-dr
,Golubitskoe Estate - Villa Romanov Chardonnay 2018,4,3.7,https://www.vivino.com/users/stas-dr
,Sandeman Medium Sweet N.V.,4,3.8,https://www.vivino.com/users/stas-dr
,Stobi Pinot Noir 2017,3.5,3.7,https://www.vivino.com/users/stas-dr
,Chilano Vintage Collection Carménère 2018,3,3.3,https://www.vivino.com/users/stas-dr
,Golubitskoe Estate - Villa Romanov Cabernet Sauvignon 2017,3.5,3.7,https://www.vivino.com/users/stas-dr
,Gaï-Kodzor Shiraz 2018,2.5,3.7,https://www.vivino.com/users/stas-dr
,Matua Pinot Noir 2015,4,3.5,https://www.vivino.com/users/stas-dr
,La Guyennoise Margelle Bordeaux 2015,3,3.3,https://www.vivino.com/users/stas-dr
,Don Opas Crianza 2016,3,3.6,https://www.vivino.com/users/stas-dr
,Château Tamagne Molodoe (?олодое) 2019,3,3.7,https://www.vivino.com/users/stas-dr
,Château Tamagne Select Rosé 2018,3,3.6,https://www.vivino.com/users/stas-dr
,Cantina la Torre Nero d'Avola 2018,3,3.2,https://www.vivino.com/users/stas-dr
,Cantina del Coppiere Catarratto - Pinot Grigio 2018,3,3.6,https://www.vivino.com/users/stas-dr
,Saint Clair Family Estate Vicar's Choice Sauvignon Blanc 2016,4,3.9,https://www.vivino.com/users/stas-dr
,Canti Heritage Cuvée Dolce 2016,3,3.9,https://www.vivino.com/users/stas-dr
,Obikwa Shiraz 2017,3,3.7,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) ?в?о??кий С?ил? ?абе?не - ?е?ло (Author's Style Cabernet - Merlot) 2018,3,3.7,https://www.vivino.com/users/stas-dr
,Casale Brondello Negroamaro 2017,3,0,https://www.vivino.com/users/stas-dr
,Mont Tauch Les Garrigues Merlot 2016,3,0,https://www.vivino.com/users/stas-dr
,Château Tamagne Fleurs de Sud Rouge de Tamagne 2018,2.5,3.3,https://www.vivino.com/users/stas-dr
,Mancura Etnia Merlot 2017,3,3.3,https://www.vivino.com/users/stas-dr
,Moranera Barbera d'Asti 2016,3,3.6,https://www.vivino.com/users/stas-dr
,Château Tamagne Select Rouge 2018,3,3.4,https://www.vivino.com/users/stas-dr
,Amaranta Pinotage 2018,3,3.5,https://www.vivino.com/users/stas-dr
,Bodega Finca Las Moras Malbec 2018,3,3.4,https://www.vivino.com/users/stas-dr
,Via Latina Rosé Rosé,3,3.7,https://www.vivino.com/users/stas-dr
,Cantina del Coppiere Catarratto - Pinot Grigio 2018,3,3.6,https://www.vivino.com/users/stas-dr
,Nicolas Feuillatte Sélection Demi-Sec Champagne Champagne,4,4,https://www.vivino.com/users/stas-dr
,El Pescaito Bobal - Cabernet Sauvignon 2015,3,3.3,https://www.vivino.com/users/stas-dr
,Moonrise Sauvignon Blanc 2017,3,3,https://www.vivino.com/users/stas-dr
,Afrikaa Park Pinotage 2017,3,3.5,https://www.vivino.com/users/stas-dr
,Conti d'Arco Cabernet Sauvignon 2017,3,3.6,https://www.vivino.com/users/stas-dr
,Lambouri Winery Idalion White 2018,2.5,3.2,https://www.vivino.com/users/stas-dr
,Moranera Barbera d'Asti 2016,3,3.6,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) NR Сапе?ави (NR Saperavi) 2017,3,3.2,https://www.vivino.com/users/stas-dr
,Fanagoria (Фанаго?и?) ?в?о??кое ?лиго?е - ?и?линг (Signature Aligoté - Riesling) 2017,3,3.5,https://www.vivino.com/users/stas-dr
